mcc_code,description,category
0742,Veterinary Services,Agricultural Services
0763,Agricultural Co-operatives,Agricultural Services
0780,Horticultural and Landscaping Services,Agricultural Services
1520,General Contractors-Residential and Commercial,Contracted Services
1711,"Air Conditioning, Heating, and Plumbing Contractors",Contracted Services
1731,Electrical Contractors,Contracted Services
1740,"Insulation, Masonry, Plastering, Stonework, and Tile Setting Contractors",Contracted Services
1750,Carpentry Contractors,Contracted Services
1761,"Roofing and Siding, Sheet Metal Work Contractors",Contracted Services
1771,Concrete Work Contractors,Contracted Services
1799,"Contractors, Special Trade - Not Elsewhere Classified",Contracted Services
2741,Miscellaneous Publishing and Printing,Contracted Services
2791,"Typesetting, Plate Making, and Related Services",Contracted Services
2842,"Sanitation, Polishing, and Specialty Cleaning Preparations",Contracted Services
3000,United Airlines,Airlines
3001,American Airlines,Airlines
3002,Pan American,Airlines
3003,Eurofly,Airlines
3004,Dragon Airlines,Airlines
3005,British Airways,Airlines
3006,Japan Air Lines,Airlines
3007,Air France,Airlines
3008,Lufthansa German Airlines,Airlines
3009,Air Canada,Airlines
3010,Royal Dutch Airlines (KLM Airlines),Airlines
3011,Aeroflot,Airlines
3012,Qantas,Airlines
3013,Alitalia,Airlines
3014,Saudi Arabian Airlines,Airlines
3015,Swiss International Air Lines,Airlines
3016,Scandinavian Airline System (SAS),Airlines
3017,South African Airways,Airlines
3018,Varig,Airlines
3019,Germanwings,Airlines
3020,Air India,Airlines
3021,Air Algerie,Airlines
3022,Philippine Airlines,Airlines
3023,Mexicana,Airlines
3024,Pakistan International,Airlines
3025,Air New Zealand Ltd. International,Airlines
3026,Emirates Airlines,Airlines
3027,Union De Transports Aeriens (UTA/interair),Airlines
3028,Air Malta,Airlines
3029,SN Brussels Airlines,Airlines
3030,Aerolineas Argentinas,Airlines
3031,Olympic Airways,Airlines
3032,ΕΙ ΑΙ,Airlines
3033,Ansett Airlines,Airlines
3034,Etihadair,Airlines
3035,TAP Air Portugal (TAP),Airlines
3036,Viacao Aerea Sao Paulo (VASP),Airlines
3037,Egyptair,Airlines
3038,Kuwait Airways,Airlines
3039,Avianca,Airlines
3040,Gulf Air (Bahrain),Airlines
3041,Balkan-Bulgarian Airlines,Airlines
3042,Finnair,Airlines
3043,Aer Lingus,Airlines
3044,Air Lanka,Airlines
3045,Nigeria Airways,Airlines
3046,Cruzeiro Do Sul,Airlines
3047,Turk Hava Yollari,Airlines
3048,Royal Air Maroc,Airlines
3049,Tunis Air,Airlines
3050,Icelandair,Airlines
3051,Austrian Airlines,Airlines
3052,LAN Airlines,Airlines
3053,Aviacion Y Comercio (AVIACO),Airlines
3054,Linea Aerea Del Cobre (LADECO),Airlines
3055,Lloyd Aero Boliviano (LAB),Airlines
3056,Jet Airways,Airlines
3057,Virgin America,Airlines
3058,Delta,Airlines
3059,DBA Airline,Airlines
3060,Northwest Airlines,Airlines
3061,Continental,Airlines
3062,Hapag-Lloyd Express,Airlines
3063,US Airways,Airlines
3064,Adria Airways,Airlines
3065,Airinter,Airlines
3066,Southwest Airlines,Airlines
3067,Vanguard Airlines,Airlines
3068,Air Astana,Airlines
3069,Sun Country Airlines,Airlines
3071,Air British Columbia,Airlines
3072,Cebu Pacific Airlines,Airlines
3075,Singapore Airlines,Airlines
3076,Aeromexico,Airlines
3077,Thai Airways,Airlines
3078,China Airlines,Airlines
3079,Jetstar Airways,Airlines
3081,NordAir,Airlines
3082,Korean Airlines,Airlines
3083,Air Afrique,Airlines
3084,Eva Airways,Airlines
3085,Midwest Express Airlines,Airlines
3086,Carnival Airlines,Airlines
3087,Metro Airlines,Airlines
3088,Croatia Air,Airlines
3089,Transaero,Airlines
3090,Uni Airways Corporation,Airlines
3094,Zambia Airways,Airlines
3096,Air Zimbabwe Corp,Airlines
3097,Spanair,Airlines
3098,Asiana Airlines,Airlines
3099,Cathay Pacific,Airlines
3100,Malaysian Airline System,Airlines
3102,Iberia,Airlines
3103,Garuda,Airlines
3106,Braathens S.A.F.E.,Airlines
3110,Wings Airways,Airlines
3111,British Midland,Airlines
3112,Windward Island,Airlines
3115,Tower Air,Airlines
3117,Venezolana International De Aviacion,Airlines
3118,Valley Airlines,Airlines
3125,Tan Sahsa,Airlines
3126,Talair PTY Ltd.,Airlines
3127,Taca International,Airlines
3129,Surinam Airways,Airlines
3130,Sunworld International,Airlines
3131,VLM Airlines,Airlines
3132,Frontier Airlines,Airlines
3133,Sunbelt Airlines,Airlines
3135,Sudan Airways,Airlines
3136,Qatar Airways,Airlines
3137,Singleton,Airlines
3138,Simmons Airlines,Airlines
